Mixture	B cells	Epithelial cells	Myeloids	T cells	Stromal cells	Mast cells	P-value	Correlation	RMSE
N_1144_10	0.074456	0.417328684	0.046856661	0.125876759	0.335481896	0	9999	0.670321786	0.832867237
N_442_3	0.345713611	0.469275125	0.071836066	0.04409764	0.060126919	0.00895064	9999	0.839294155	0.54402556
N_618_14	0.344551951	0.466137675	0.048081954	0.065972556	0.069752471	0.005503393	9999	0.857242772	0.516111464
N_655_17	0.379503429	0.440758378	0.05242466	0.031350675	0.086941753	0.009021105	9999	0.829864922	0.562775341
N_684_6	0.252550459	0.533333788	0.02667444	0.106643819	0.078990936	0.001806559	9999	0.802317261	0.618232759
N_722_30	0.265181186	0.572160537	0.054781879	0.034673007	0.066592012	0.006611379	9999	0.751529911	0.663972308
N_761_22	0.089398713	0.830886278	0.029087487	0.04862269	0	0.002004832	9999	0.787782929	0.691896999
N_819_7	0.073231961	0.364653813	0.055545859	0.115091941	0.391476426	0	9999	0.709329772	0.827255667
P_622_23	0.053508214	0.762346913	0.009741417	0.090829574	0.083573882	0	9999	0.736944621	0.750716443
P_655_16	0.351276271	0.36986673	0.018705655	0.072485219	0.187666126	0	9999	0.870541957	0.494106031
P_684_4	0.030898513	0.258639222	0.283475405	0.176536222	0.249073789	0.00137685	9999	0.702295227	0.873047753
P_722_29	0.292086237	0.39358824	0.144477351	0.046570892	0.12327728	0	9999	0.798232501	0.609573779
P_761_21	0.340466148	0.460000209	0.034222775	0.129449152	0.035861716	0	9999	0.855400269	0.519806124
P_819_8	0.003771453	0.159074159	0.09809138	0.160509298	0.57855371	0	9999	0.633894303	0.903528934
M_1144_9	0.000369203	0.3598626	0.150967912	0.18264042	0.302701677	0.003458188	9999	0.518413774	0.909910672
M_1231_11	0	0.668879702	0.088976344	0.123600989	0.118299768	0.000243197	9999	0.695104047	0.799643641
M_1291_12	0.004217422	0.307853012	0.280563044	0.200364747	0.207001775	0	9999	0.603323805	0.896314815
M_442_2	0.014022027	0	0.652385881	0.146713637	0.186878454	0	9999	0.866231211	0.810368788
M_618_15	0.020775042	0.133898929	0.255774608	0.20805394	0.381497481	0	9999	0.630112664	0.907274485
M_622_24	0	0.522157864	0.177511443	0.108324062	0.192006631	0	9999	0.740343995	0.815476786
M_622_25	0.009635336	0.306454244	0.259661872	0.118426581	0.305821967	0	9999	0.631076553	0.887571572
M_655_18	0.079783387	0.344169428	0.24556279	0.201648695	0.1288357	0	9999	0.698199232	0.829698906
M_656_20	0.022176872	0.442510512	0.186781873	0.218673907	0.129856835	0	9999	0.520716021	0.896543813
M_663_26	0.107216173	0.249016699	0.238480782	0.119409945	0.2858764	0	9999	0.726004591	0.804166443
M_684_5	0	0.489759863	0.23820363	0.192454055	0.073970603	0.005611849	9999	0.599029382	0.867610643
M_705_27	0.008512895	0.380818936	0.260699913	0.06629611	0.283672146	0	9999	0.564642201	0.891154075
M_722_37	0.022545389	0.413257005	0.134069393	0.180564591	0.249563623	0	9999	0.61656494	0.87484552
N_liver_655_19	0.022544784	0.006081692	0.533645329	0.171022568	0.266705627	0	9999	0.352193519	0.947362702
N_liver_705_28	0.041266643	0.003842685	0.605496516	0.150804975	0.198589181	0	9999	0.300632676	0.955624932
N_liver_722_31	0.047997693	0.005128658	0.575812645	0.217005733	0.154055271	0	9999	0.314498791	0.95233574
