sample_id	subject	group	match_status	mapped
M_1144_9	1144	M	Y_no_primary	26380785
M_1231_11	1231	M	N	23728647
M_1291_12	1291	M	N	16340849
M_442_2	442	M	Y	20602923
M_618_15	618	M	Y	21059093
M_622_24	622	M	Y_no_normal	23122139
M_622_25	622	M	Y_no_normal	22114318
M_655_18	655	M	Y	19098068
M_656_20	656	M	N	30704861
M_663_26	663	M	Y_no_normal	20602479
M_684_5	684	M	Y	16678518
M_705_27	705	M	Y	18458457
M_722_37	722	M	Y	19615634
N_1144_10	1144	N	Y_no_primary	19720776
N_442_3	442	N	Y	20805659
N_618_14	618	N	Y	15299091
N_655_17	655	N	Y	20489592
N_684_6	684	N	Y	20218517
N_722_30	722	N	Y	16065191
N_761_22	761	N	Y_no_mets	18953494
N_819_7	819	N	Y_no_mets	19618922
N_liver_655_19	655	N_liver	Y_liver	20219408
N_liver_705_28	705	N_liver	Y_liver	22028524
N_liver_722_31	722	N_liver	Y_liver	24314350
P_622_23	622	P	Y_no_normal	24043853
P_655_16	655	P	Y	17287461
P_684_4	684	P	Y	26848918
P_722_29	722	P	Y	21037237
P_761_21	761	P	Y_no_mets	8896044
P_819_8	819	P	Y_no_mets	23511034
