gene	symbol	biotype
ENSG00000223972.5	DDX11L1
ENSG00000227232.5	WASH7P
ENSG00000278267.1	MIR6859-1
ENSG00000243485.3	RP11-34P13.3
ENSG00000274890.1	MIR1302-2
ENSG00000237613.2	FAM138A
ENSG00000268020.3	OR4G4P
ENSG00000240361.1	OR4G11P
ENSG00000186092.4	OR4F5
G000006	Unknown
ENSG00000238009.6	RP11-34P13.7
ENSG00000228463.8	AP006222.2
ENSG00000239945.1	RP11-34P13.8
ENSG00000241860.6	RP11-34P13.13
ENSG00000233750.3	CICP27
XLOC_l2_000001	NotAvail
ENSG00000268903.1	RP11-34P13.15
ENSG00000269981.1	RP11-34P13.16
ENSG00000239906.1	RP11-34P13.14
ENSG00000222623.1	RNU6-1100P
ENSG00000241599.1	RP11-34P13.9
ENSG00000279928.1	FO538757.3
ENSG00000279457.3	FO538757.2
ENSG00000273874.1	MIR6859-2
ENSG00000275135.1	FO538757.1
FAM138D	FAM138D
ENSG00000241670.3	RPL23AP21
ENSG00000236679.2	RPL23AP24
ENSG00000236743.1	RP5-857K21.15
ENSG00000236601.1	RP4-669L17.2
ENSG00000237094.11	RP4-669L17.10
XLOC_l2_000005	NotAvail
ENSG00000269732.1	WBP1LP7
ENSG00000278566.1	OR4F29
ENSG00000224813.2	SEPT14P13
ENSG00000233653.3	CICP7
ENSG00000250575.1	RP4-669L17.8
ENSG00000278757.1	U6
ENSG00000231709.1	RP5-857K21.1
ENSG00000235146.2	RP5-857K21.2
ENSG00000239664.2	RP5-857K21.3
ENSG00000230021.7	RP5-857K21.4
ENSG00000223659.1	RP5-857K21.5
ENSG00000225972.1	MTND1P23
ENSG00000225630.1	MTND2P28
ENSG00000276171.1	AC114498.1
ENSG00000237973.1	RP5-857K21.6
ENSG00000278791.1	MIR6723
ENSG00000229344.1	RP5-857K21.7
ENSG00000240409.1	MTATP8P1
ENSG00000248527.1	MTATP6P1
ENSG00000198744.5	RP5-857K21.11
ENSG00000268663.1	WBP1LP6
ENSG00000273547.1	OR4F16
ENSG00000229376.3	CICP3
ENSG00000224956.5	RP11-206L10.1
ucsc_AK310751	AK310751
ENSG00000235373.1	RP11-206L10.3
ENSG00000223181.1	RNU6-1199P
ENSG00000240618.1	RP11-206L10.5
ENSG00000229905.1	RP11-206L10.4
ENSG00000228327.2	RP11-206L10.2
ENSG00000237491.8	RP11-206L10.9
ENSG00000230092.7	RP11-206L10.8
ENSG00000177757.2	FAM87B
XLOC_000008	NotAvail
XLOC_000667	NotAvail
ENSG00000228794.8	LINC01128
ENSG00000225880.5	LINC00115
CRCAG_000011	NotAvail
ENSG00000230368.2	FAM41C
G000025	Unknown
ENSG00000234711.1	TUBB8P11
G000026	Unknown
G000028	Unknown
ENSG00000272438.1	RP11-54O7.16
XLOC_000010	NotAvail
XLOC_000669	NotAvail
ENSG00000230699.2	RP11-54O7.1
ENSG00000241180.1	RP11-54O7.2
ENSG00000223764.2	RP11-54O7.3
ENSG00000187634.10	SAMD11
ENSG00000188976.10	NOC2L
ENSG00000187961.13	KLHL17
ENSG00000277294.1	AL645608.1
G000035	Unknown
ENSG00000187583.10	PLEKHN1
ENSG00000187642.9	PERM1
G000037	Unknown
ENSG00000272512.1	RP11-54O7.17
CRCAG_000016	NotAvail
ENSG00000188290.10	HES4
ENSG00000187608.8	ISG15
LCAG_000016	NotAvail
ENSG00000231702.2	RP11-54O7.10
G000040	Unknown
ENSG00000224969.1	RP11-54O7.11
ENSG00000188157.13	AGRN
ENSG00000242590.1	RP11-54O7.14
LCAG_000018	NotAvail
ENSG00000217801.9	RP11-465B22.3
ENSG00000273443.1	RP11-54O7.18
G000044	Unknown
ENSG00000237330.2	RNF223
ENSG00000131591.17	C1orf159
G000045	Unknown
G000046	Unknown
G000047	Unknown
G000048	Unknown
CRCAG_000020_grp1	NotAvail
ENSG00000223823.1	LINC01342
G000052	Unknown
LCAG_000022	NotAvail
CRCAG_000020_grp2	NotAvail
CRCAG_000022	NotAvail
ENSG00000207730.2	MIR200B
ENSG00000207607.2	MIR200A
ENSG00000198976.1	MIR429
ENSG00000272141.1	RP11-465B22.8
ENSG00000205231.1	TTLL10-AS1
ENSG00000162571.13	TTLL10
G000058	Unknown
ENSG00000186891.13	TNFRSF18
ENSG00000186827.10	TNFRSF4
ENSG00000078808.16	SDF4
ENSG00000176022.4	B3GALT6
G000061	Unknown
ENSG00000184163.3	FAM132A
G000063	Unknown
ENSG00000260179.1	RP5-902P8.12
ENSG00000160087.20	UBE2J2
ENSG00000230415.1	RP5-902P8.10
ENSG00000162572.19	SCNN1D
ENSG00000131584.18	ACAP3
ENSG00000278073.1	MIR6726
ENSG00000169972.11	PUSL1
ENSG00000127054.18	CPSF3L
ENSG00000274153.1	MIR6727
ENSG00000240731.1	RP5-890O3.9
ENSG00000224051.6	CPTP
G000069	Unknown
ENSG00000169962.4	TAS1R3
ENSG00000107404.17	DVL1
ENSG00000275884.1	MIR6808
G000071	Unknown
ENSG00000162576.16	MXRA8
G000073	Unknown
G000074	Unknown
ENSG00000175756.13	AURKAIP1
CRCAG_001656	NotAvail
ENSG00000223663.2	RP5-890O3.3
XLOC_000017	NotAvail
ENSG00000221978.11	CCNL2
ENSG00000224870.6	RP4-758J18.2
ENSG00000242485.5	MRPL20
ENSG00000264293.2	RN7SL657P
G000083	Unknown
ENSG00000272455.1	RP4-758J18.13
G000086	Unknown
ENSG00000235098.8	ANKRD65
ENSG00000225905.1	RP4-758J18.7
G000085	Unknown
ENSG00000205116.3	TMEM88B
G000090	Unknown
ENSG00000225285.1	RP4-758J18.10
ENSG00000179403.11	VWA1
ENSG00000215915.9	ATAD3C
G000092	Unknown
ENSG00000160072.19	ATAD3B
ENSG00000197785.13	ATAD3A
G000093	Unknown
ENSG00000205090.8	TMEM240
ENSG00000160075.11	SSU72
ENSG00000215014.4	RP5-832C2.5
ENSG00000279244.1	AL645728.1
ENSG00000274481.1	RP11-345P4.11
ENSG00000280747.1	Metazoa_SRP
ENSG00000228594.3	C1orf233
XLOC_000019	NotAvail
ENSG00000272106.1	RP11-345P4.9
ENSG00000197530.12	MIB2
G000100	Unknown
ENSG00000189409.12	MMP23B
ENSG00000248333.7	CDK11B
ENSG00000272004.1	RP11-345P4.10
ENSG00000189339.11	SLC35E2B
ENSG00000269737.1	RP11-345P4.7
ENSG00000269227.1	RP11-345P4.6
G000106	Unknown
ENSG00000215914.4	MMP23A
ENSG00000008128.22	CDK11A
ENSG00000268575.1	RP1-283E3.8
ENSG00000227775.3	RP1-283E3.4
ENSG00000215790.6	SLC35E2
ENSG00000008130.15	NADK
ENSG00000078369.17	GNB1
ENSG00000231050.1	RP1-140A9.1
G000111	Unknown
G000113	Unknown
G000116	Unknown
G000117	Unknown
ENSG00000169885.9	CALML6
ENSG00000178821.12	TMEM52
ENSG00000142609.17	CFAP74
G000121	Unknown
G000122	Unknown
G000123	Unknown
G000124	Unknown
G000125	Unknown
ENSG00000233542.1	RP11-547D24.1
G000127	Unknown
ENSG00000187730.7	GABRD
G000129	Unknown
G000130	Unknown
ENSG00000226969.1	RP11-547D24.3
ENSG00000067606.15	PRKCZ
ENSG00000271806.1	RP5-892K4.1
G000133	Unknown
ENSG00000182873.5	RP11-181G12.2
ENSG00000162585.16	FAAP20
G000135	Unknown
ENSG00000234396.3	RP11-181G12.4
G000136	Unknown
ENSG00000277082.1	AL590822.1
ENSG00000157933.9	SKI
G000139	Unknown
G000140_grp1	Unknown
G000141	Unknown
ENSG00000116151.13	MORN1
G000140_grp2	Unknown
ENSG00000272161.1	RP4-713A8.1
G000140_grp3	Unknown
G000143	Unknown
ENSG00000269896.2	RP4-740C4.5
ENSG00000272420.1	RP4-740C4.7
G000145	Unknown
ENSG00000157916.18	RER1
