NAME	Epithelial cells	Stromal cells	Myeloids	T cells	B cells	Mast cells
A1BG	1	51.2196218537791	1	1	47.645468221288	131.011202323689
A2M	1	629.548849404911	173.374514136002	1	1	1
A4GALT	1	71.8589787675324	1	1	1	1
AAK1	1	68.8064222160043	71.1774339849212	220.471413848138	1	1
ABCA1	1	1	90.9127377163154	1	1	1
ABCA8	1	214.621725988523	1	1	1	1
ABCC3	138.298428142062	1	1	1	1	1
ABHD11	122.169874124303	1	1	1	1	1
ABHD11.AS1	48.003803094556	1	1	1	1	1
ABHD12	39.4157513100149	1	74.647315046822	1	1	1
ABHD14A	1	61.4367206352396	1	1	1	1
ABHD14B	50.9275281933169	54.8946804771013	1	87.9876927857589	50.5824731096484	1
ABHD17A	1	51.686453076519	1	62.7844483656569	1	1
ABI2	1	61.2859985260833	1	1	1	1
ABI3	1	1	84.3080709206355	113.639903004534	1	1
ABI3BP	1	105.288404595506	1	1	1	1
ABL2	1	86.3948822772811	1	1	1	1
ABT1	1	1	1	67.6354205495469	1	1
AC004791.2	1	1	1	1	1	200.841265165981
AC006262.5	78.3606293936746	1	1	1	1	1
AC013461.1	38.7729557228151	119.375858281568	1	1	1	1
AC020571.3	1	1	1	1	1	176.636289576265
AC092580.4	1	1	1	231.986891107256	1	1
AC133644.2	1	1	1	115.046018187955	1	1
ACADM	46.8654099758416	42.2279066501737	1	1	33.4596005497659	1
ACADS	47.7592954149136	1	1	1	1	1
ACAP1	1	1	1	466.53552122141	140.320447561439	1
ACAT2	50.0563898539452	1	1	1	1	1
ACER3	1	1	57.7369382528489	1	1	93.313655281589
ACIN1	30.9126537090165	49.4392225010221	1	1	1	191.555618430385
ACOT13	50.8026307058505	1	1	1	1	1
ACOT7	66.6301109661077	1	1	1	1	502.001477728399
ACP2	1	1	53.4557469475303	1	1	1
ACP5	1	1	420.009332449528	86.2770549909716	1	1
ACSL1	1	1	117.545658369942	1	1	1
ACSL4	1	1	52.8446719595723	1	1	405.453303698325
ACSL5	117.589633918753	1	1	1	1	1
ACSS2	44.9185440399512	1	1	1	1	1
ACTA2	1	1495.25198871796	1	1	1	1
ACTG2	1	259.269663911911	1	1	1	1
ACTR10	41.1009381276467	96.2506997681213	1	65.0879278734478	1	1
ACVRL1	1	106.465033937379	1	1	1	1
ACYP2	1	1	1	1	1	64.9368716332138
ADAM17	1	1	58.5822524116819	1	1	1
ADAM28	1	1	48.8982617080341	1	88.911662306253	1
ADAM8	1	1	85.0035177832857	1	1	1
ADAMDEC1	1	1196.55507842584	1	1	1	1
ADAMTS1	1	228.900096901896	1	1	1	1
ADAP1	65.6971735019912	1	1	1	1	1
ADAP2	1	1	111.016415749163	1	1	1
ADCY7	1	1	53.8811514637623	1	1	64.7801808564057
ADD3	98.4196263942513	155.495605047001	1	70.9207714952722	1	1
ADGRA2	1	55.8196275509051	1	1	1	1
ADGRE5	50.5566679533535	1	87.2160831803477	128.957764225278	1	1
ADGRF5	1	72.0761337996402	1	1	1	1
ADGRL4	1	105.360690114401	1	1	1	1
ADH1B	1	631.726324978363	1	1	1	1
ADH5	79.7573461853991	157.448945583014	1	66.5700875212513	1	1
ADIRF	532.339698528828	1215.69935863092	1	1	1	1
ADPGK	1	1	87.5758397497295	71.6486341144808	1	1
ADRB2	1	1	1	1	1	192.096120024411
ADRBK1	37.9094411774839	1	55.5120461251269	1	1	82.3391425937748
AEBP1	1	497.647954735968	1	1	1	1
AGFG1	1	1	54.189975416008	1	1	1
AGPAT2	267.913044518188	52.4919391390569	65.8901060156176	1	1	1
AGR2	2142.4738818586	1	84.6302550942121	1	1	1
AGR3	235.332428568625	1	1	1	1	1
AHCY	101.906363818332	1	1	1	1	1
AHNAK2	46.1953998985158	1	1	1	1	1
AIF1	1	1	2061.65093404185	1	1	1
AIM1	1	1	1	131.100597351236	1	1
AK1	140.960244027414	99.383976303765	1	1	1	1
AKAP1	54.3347081569186	1	1	1	1	1
AKAP12	1	172.19182138726	1	1	1	1
AKIRIN1	28.502540596819	37.5479526611139	1	81.5020160825506	1	1
AKIRIN2	1	1	50.7607390107527	1	1	1
AKNA	1	1	1	118.223972331908	1	1
AKR1B1	1	94.1119713465268	194.633958276505	1	1	150.065829409683
AKR1C3	144.463987724478	53.1135314441623	1	1	1	1
AKR7A3	76.2692718004159	1	1	1	1	1
AL928768.3	1	1	1	1	821.710116204472	1
ALAS1	1	1	1	1	1	653.762315309588
ALCAM	1	1	74.6018774189372	1	1	1
ALDH1A1	108.287558483216	220.146729761205	82.9715684120868	1	1	245.309859953842
ALDH1A3	1	68.8357671020994	1	1	1	1
ALOX5	1	1	78.1759229092119	1	1	329.072736380773
ALOX5AP	1	1	708.588037210805	383.782837616748	1	1598.86283611435
AMN	68.5062123281815	1	1	1	1	1
ANGPTL1	1	85.4772046588413	1	1	1	1
ANGPTL2	1	157.833064421585	1	1	1	1
ANKRD28	1	71.8295064355392	65.9014474640805	154.325747507699	215.063496351589	340.772594259415
ANKRD44	1	1	55.3073245909131	128.9938930728	63.5767055793502	112.663464519246
ANO6	1	1	47.5752485271782	1	1	1
ANP32E	1	1	1	89.2662691507435	1	1
ANTXR1	1	138.341594709019	1	1	1	1
ANTXR2	1	62.7135883996766	1	1	1	1
ANXA1	175.951755746149	551.199099837337	615.772465010283	476.904660734374	1	1718.66099920963
ANXA10	77.8247288709294	1	1	1	1	1
ANXA13	74.8043570780586	1	1	1	1	1
ANXA3	155.917978382064	1	1	1	1	1
ANXA4	378.867099912236	118.984842224754	113.73777194611	1	1	1
ANXA6	1	165.144459034867	1	241.349638027269	82.5032686762932	1
AOAH	1	1	66.5720186734641	1	1	1
AOC1	63.6111643855488	1	1	1	1	1
AP1B1	1	1	119.892851378555	1	1	1
AP1M2	102.569544699444	1	1	1	1	1
AP1S1	123.622460380301	58.9956728904521	1	1	1	1
AP2A2	30.773314631944	1	64.97484262416	1	1	1
AP3D1	54.5617752459102	1	1	1	1	1
APBB1IP	1	1	37.5218871272862	108.567646122678	1	1
APEH	29.3281664177905	1	1	1	1	73.9427106074608
APMAP	38.5667668246479	47.2837984834645	70.9496869859599	76.5235175723094	1	1
APOA1BP	72.5881562850229	55.1196239656335	1	1	46.6804946996621	1
APOBEC3C	1	1	1	125.53801394736	1	111.903049768712
APOBEC3G	1	1	1	223.835391372056	1	1
APOC1	1	1	1944.01716816947	1	1	1
APOD	1	224.066293186304	1	1	1	1
APOE	1	668.402489726406	4177.6717863472	1	1	252.893828998157
APOL1	1	67.0585678011931	1	1	1	1
APOLD1	1	86.8286979382133	1	1	1	1
APP	202.975399676225	470.750112214142	84.2767780039901	1	1	1
AQP1	1	166.906237016197	1	1	1	1
AQP3	1	1	1	85.1235529135371	1	1
AQP9	1	1	58.1652912608139	1	1	1
AQR	1	1	1	1	1	93.313655281589
ARAP1	1	1	48.0364658593182	1	1	1
AREG	71.0929859854556	1	504.777145611517	295.69263821445	1	4351.38539459236
ARFRP1	30.7264526697275	49.3463699838423	1	1	1	122.860709306763
ARHGAP15	1	1	1	140.298078048031	49.1620449280359	214.222561646422
ARHGAP18	26.0232638145139	1	175.885765043177	1	1	369.441158048848
ARHGAP24	1	1	1	1	96.3776591512332	1
ARHGAP25	1	1	1	64.9868228021211	1	35.8124298084691
ARHGAP29	1	127.45156613668	1	1	1	1
ARHGAP30	1	1	62.7698400282222	134.650675118598	1	1
ARHGAP4	1	1	63.0497551413112	65.9742612914848	1	1
ARHGAP9	1	1	1	110.009460113516	1	1
ARHGDIB	1	96.0597256027606	537.35972110357	1061.76049874986	337.640609788311	970.464900771503
ARHGEF1	42.4789546945347	1	1	204.098205247311	1	1
ARHGEF6	1	1	1	1	1	151.35866425184
ARID5A	1	46.7633045169183	63.0736863998526	131.232523642447	1	1
ARID5B	1	239.700231363597	1	173.274697408961	97.3660651830536	1
ARL1	63.3211890833164	100.201923429387	1	1	1	241.704221070834
ARL4A	82.1081415107042	91.6050483374719	76.4658518503348	1	1	243.400887728449
ARL4C	1	1	153.946395537001	139.818593666046	1	1
ARL8B	1	45.6458026960484	90.9687856621912	1	1	1
ARMC8	1	1	1	1	1	77.5951350233351
ARMCX1	1	61.7386507495438	1	1	1	1
ARMCX3	37.9713423121108	109.449079834376	47.3872764310378	1	45.917878784918	319.80997652399
ARMCX6	1	40.4277829829089	1	1	1	90.6187753061717
ARPC5L	90.1292851785473	71.837933983505	1	152.06121933086	67.7348661913812	1
ARRB2	1	1	184.862397967396	79.3337194301742	1	16.8882057969453
ARRDC1	72.24788040017	1	1	1	1	1
ARSD	51.1959083633542	1	1	1	1	1
ASAH1	105.801076096894	145.48617344749	481.538710114382	1	52.6915843983564	771.376690580841
ASCL2	74.8548476117135	1	1	1	1	1
ASL	98.2719148968002	1	1	1	1	1
ASPHD1	47.4959701668451	1	1	1	1	1
ASPN	1	257.121886804278	1	1	1	1
ASS1	194.99265940525	1	1	1	1	1
ATF5	1	1	81.3954741343031	1	1	1
ATG12	44.7981124735301	58.1951253387435	62.6786153631227	75.0756688606749	1	1
ATIC	59.3618783972428	1	1	1	1	1
ATM	1	1	56.2756373889393	125.966012231761	76.0870830436322	1
ATP10B	58.0593617455048	1	1	1	1	1
ATP13A3	31.3627889103037	1	108.12253351278	1	1	1
ATP1B1	272.589645177738	1	49.2058961791601	1	1	146.846159138097
ATP2B4	1	61.1941801671946	1	1	1	1
ATP6AP1	50.398475439452	76.9699538563642	173.938532793737	1	1	141.58156196373
ATP6V0D1	77.785662217669	75.9570589201919	182.948715429315	1	1	1
ATP6V0E2	1	1	1	75.7947589143156	1	1
ATP6V1A	28.476301187288	1	105.70515092799	1	1	1
ATP6V1B2	1	40.6564583394737	249.600560423888	1	1	1
ATP6V1C1	1	1	75.1724730885393	1	1	1
ATP8B1	67.5620155221372	1	1	1	1	1
AVPI1	1	1	50.424852569767	1	1	1
AXL	1	99.9699227137379	87.3663203027928	1	1	1
AZGP1	52.1556493033891	1	1	1	1	1
AZI2	1	58.5434605905323	66.606917594477	1	1	1
AZIN1	52.5672570146504	59.6858450827096	52.7268296016262	1	1	118.795801161777
B3GNT3	54.3082994017314	1	1	1	1	1
B3GNT5	1	1	57.9677039165784	1	1	1
B4GALT3	1	1	1	1	36.7778316694196	1
BACE2	126.282662505873	47.2830631083769	1	1	1	316.287731002468
BACH1	1	1	45.7469898164947	1	1	81.2088785083314
BAG2	1	64.5556632002149	1	1	1	1
BANK1	1	1	1	1	171.692655484657	1
BASP1	1	60.6024976118467	87.6801734007304	1	97.7150147958414	1
BATF	1	1	1	250.897982539383	1	106.63849869118
BAZ1A	45.0675494367351	53.5836285259259	81.4774090144167	102.746103145858	1	1
BAZ2A	40.8358544475996	50.7397612635208	1	1	49.4893985713492	1
BBIP1	1	1	1	1	1	102.190900495227
BCAM	1	123.947226367619	1	1	1	1
BCAS2	38.7686567808254	48.51762925878	1	76.9851548920644	1	1
BCAS4	1	1	1	1	77.414195604667	1
BCAT1	1	1	94.6322960849462	1	1	1
BCCIP	52.939630296256	1	1	1	1	1
BCL11B	1	1	1	115.953596141757	1	1
BCL2A1	1	1	301.82511958335	1	1	95.4079865951707
BCL2L1	54.9148647567694	1	1	1	1	86.0870839012408
BCL2L15	77.5104119092946	1	1	1	1	1
BDH2	1	76.1050793801105	1	1	1	1
BEST1	1	1	54.8898934265701	1	1	1
BEX4	1	95.3761569993165	119.149273511475	1	1	208.505168542339
BGN	1	958.001842701945	1	1	1	1
BHLHE40	54.1351544308332	86.8288736319382	93.0731641972642	1	1	250.194380165887
BID	66.2272359814571	1	111.110136255292	1	1	83.0245793842047
BIK	121.603131019974	1	1	1	1	1
BIN1	1	59.2930532405502	1	153.770308284239	1	1
BIN2	1	1	43.6995746590197	157.979673834032	1	1
BIRC3	1	1	65.7799830920426	455.867440687481	140.668143212499	781.376859119329
BIRC5	64.3516729716093	1	1	1	1	1
BLK	1	1	1	1	74.747936977094	1
BLNK	1	1	1	1	54.9414258410699	1
BLOC1S6	1	57.3049171726454	73.0609606087322	1	1	1
BLVRA	1	38.7582801175425	100.531708049528	1	1	86.1969180633158
BLVRB	194.287850962606	147.713439154348	392.274579229805	1	1	1
BMP2K	1	1	77.1753641558004	1	1	191.417065095732
BMPR2	1	82.5019055363144	1	1	1	1
BNIP2	1	74.2755995501287	106.72004378176	1	1	1
BNIP3	1	69.9489526326318	1	1	1	1
BPTF	48.5487646102864	74.7988146955412	52.4348546828747	78.6700569733612	1	1
BRI3	80.29771092348	58.5632286308954	176.335293593583	1	1	1
BRIX1	45.557632766821	1	1	1	1	249.792364232649
BROX	40.508547966513	1	1	1	1	95.6966985467938
BTG3	1	62.8561352594185	1	93.5243559321174	1	147.843667113926
BTK	1	1	1	1	1	384.93962055467
BTN3A2	1	40.1238163980935	1	150.67830451753	68.0358719883162	1
BZW2	84.1804626787652	1	1	1	1	1
C10orf10	1	300.768878319611	1	1	1	1
C10orf11	1	1	56.1293818645758	1	1	1
C10orf128	1	1	52.7918874741789	1	1	82.3391425937748
C10orf99	114.227066962604	1	1	1	1	1
C11orf1	53.0597036838254	1	1	1	1	1
C11orf96	1	121.787255023335	1	1	1	1
C12orf75	325.833476615326	69.8695135460051	1	134.092636480837	1	1
C15orf48	725.287930063618	1	812.448208357659	1	1	1
C15orf57	1	1	1	1	37.1192822110521	1
C17orf62	1	44.7689430978763	60.0126353058265	98.9716366123679	67.8611432212058	1
C19orf33	951.557069481369	1	1	1	1	1
C19orf48	50.8330731192542	1	1	1	1	1
C19orf66	1	56.6518826690496	1	91.4264413785352	1	1
C1D	57.5170159251115	74.7867653412145	79.6303462515991	73.8801371201015	1	186.179782166645
C1QA	1	1	3584.02737126712	1	1	1
C1QB	1	1	3207.67399429906	1	1	1
C1QC	1	1	2036.63329261082	1	1	1
C1QTNF3	1	225.7735276752	1	1	1	1
C1R	1	1017.21570547476	1	1	1	1
C1S	1	958.588485588726	1	1	1	1
C1orf106	65.8142755286609	1	1	1	1	1
C1orf131	52.8875377801993	1	1	1	1	120.702243606027
C1orf162	1	1	416.713875781865	1	1	333.394027314276
C1orf186	1	1	1	1	1	806.334555777165
C1orf228	1	1	1	1	1	143.372398432874
C1orf54	1	122.33822879568	139.631790595049	1	1	1
C1orf56	1	54.043595681089	55.2626377958373	95.6282118921879	1	208.216505326791
C2	1	69.8860291022073	76.160525965055	1	1	1
C20orf27	50.3504070278352	45.8671665731181	81.1576822659787	1	1	106.501229161706
C2orf76	1	1	1	1	1	174.673229308337
