circRNA	B cells_coeff	Epithelial cells_coeff	Mast cells_coeff	Myeloids_coeff	Stromal cells_coeff	T cells_coeff	PVal	RSquared	no_cell_types_with_positive_coefficient
chr1|100011364|100015420|+|2|circRNA|SLC35A3|ENST00000370155.7|5,6	0.0097061261	0.0009625468	0.00000000	0.0000000000	0.0000000000	0.013484166	0.11095082	0.08526370	3
chr1|100011364|100017815|+|3|circRNA|SLC35A3|ENST00000370155.7|5,6,7	0.0000000000	0.0081092156	0.00000000	0.0000000000	0.0000000000	0.000000000	0.04842196	0.12770553	1
chr1|100049908|100061949|+|4|circRNA|HIAT1|ENST00000370152.7|2,3,4,5	0.0006383298	0.0011317183	1.31892953	0.0000000000	0.0000000000	0.000000000	0.02944360	0.15320956	3
chr1|100058665|100061949|+|3|circRNA|HIAT1|ENST00000370152.7|3,4,5	0.0097061261	0.0009625468	0.00000000	0.0000000000	0.0000000000	0.013484166	0.11095082	0.08526370	3
chr1|100069613|100080659|+|4|circRNA|HIAT1|ENST00000370152.7|8,9,10,11	0.0000000000	0.0000000000	0.05070579	0.0007823557	0.0004384919	0.008925316	0.21249622	0.05306558	4
chr1|100102954|100125942|-|12|circRNA|SASS6|NM_001304829|13,12,11,10,9,8,7,6,5,4,3,2	0.0000000000	0.0000000000	0.00000000	0.0125106450	0.0000000000	0.000000000	0.04201975	0.13498977	1
chr1|100136881|100140514|+|5|circRNA|TRMT13|NM_019083|2,3,4,5,6	0.0023537421	0.0000000000	0.00000000	0.0006527973	0.0075700448	0.000000000	0.21282068	0.05299238	3
chr1|100143209|100144067|+|1|ciRNA|TRMT13|NM_019083|8	0.0187255919	0.0000000000	0.54344532	0.0000000000	0.0000000000	0.000000000	0.03493170	0.14446522	2
chr1|100156171|100160571|-|4|circRNA|LRRC39|NM_001256385|7,6,5,4	0.0000000000	0.0000000000	0.00000000	0.0008303731	0.0079675551	0.000000000	0.18929970	0.05865313	2
chr1|100158230|100173370|-|5|circRNA|LRRC39|NM_001256385|6,5,4,3,2	0.0000000000	0.0000000000	0.00000000	0.0125106450	0.0000000000	0.000000000	0.04201975	0.13498977	1
